jugador.name,jugador.altura
James Ennis,204.216
Kevin Seraphin,185.928
Lance Thomas,207.264
Sasha Vujacic,204.216
Derrick Williams,207.264
Tony Wroten,201.168
Isaiah Canaan,182.88
Robert Covington,210.312
Joel Embiid,213.36
Tyreke Evans,201.168
Tim Frazier,185.928
Alonzo Gee,201.168
Eric Gordon,195.072
Jordan Hamilton,204.216
Jrue Holiday,195.072
Orlando Johnson,198.12
Kendrick Perkins,185.928
Quincy Pondexter,204.216
LaMarcus Aldridge,186.2328
Kyle Anderson,210.312
Matt Bonner,185.928
Boris Diaw,207.264
Tim Duncan,186.2328
Manu Ginobili,201.168
Danny Green,201.168
Kawhi Leonard,204.216
Boban Marjanovic,222.504
Kevin Martin,204.216
Andre Miller,192.024
Patty Mills,182.88
Tony Parker,188.976
Jonathon Simmons,201.168
David West,210.312
Kent Bazemore,198.12
Tim Hardaway Jr.,201.168
Kirk Hinrich,195.072
Al Horford,185.928
Kris Humphries,210.312
Kyle Korver,204.216
Paul Millsap,207.264
Mike Muscala,186.2328
Lamar Patterson,198.12
Dennis Schroder,185.928
Mike Scott,207.264
Thabo Sefolosha,204.216
Tiago Splitter,186.2328
Walter Tavares,222.504
Jeff Teague,188.976
Nicolas Batum,207.264
Troy Daniels,195.072
Jorge Gutierrez,192.024
Tyler Hansbrough,210.312
Aaron Harrison,201.168
Spencer Hawes,216.408
Al Jefferson,185.928
Frank Kaminsky III,213.36
Michael Kidd-Gilchrist,204.216
Jeremy Lamb,198.12
Courtney Lee,198.12
Jeremy Lin,192.024
Kemba Walker,185.928
Marvin Williams,210.312
Cody Zeller,213.36
Chris Bosh,186.2328
Luol Deng,210.312
Goran Dragic,192.024
Gerald Green,204.216
Udonis Haslem,207.264
Joe Johnson,204.216
Tyler Johnson,195.072
Josh McRoberts,185.928
Josh Richardson,201.168
Amar'e Stoudemire,185.928
Dwyane Wade,195.072
Hassan Whiteside,213.36
Justise Winslow,204.216
Dewayne Dedmon,213.36
Jared Sullinger,210.312
Isaiah Thomas,179.832
Evan Turner,204.216
James Young,201.168
Tyler Zeller,213.36
Bojan Bogdanovic,207.264
Markel Brown,192.024
Wayne Ellington,195.072
Evan Fournier,204.216
Aaron Gordon,210.312
Mario Hezonja,207.264
Ersan Ilyasova,185.928
Brandon Jennings,185.928
Devyn Marble,201.168
Shabazz Napier,185.928
Andrew Nicholson,210.312
Victor Oladipo,195.072
Elfrid Payton,195.072
Jason Smith,213.36
Nikola Vucevic,213.36
C.J. Watson,188.976
Alan Anderson,201.168
Bradley Beal,198.12
Jared Dudley,204.216
Jarell Eddie,204.216
Drew Gooden,185.928
Marcin Gortat,186.2328
JJ Hickson,210.312
Nene Hilario,186.2328
Markieff Morris,185.928
Kelly Oubre Jr.,204.216
Otto Porter Jr.,207.264
Ramon Sessions,192.024
Garrett Temple,201.168
Marcus Thornton,195.072
John Wall,195.072
Darrell Arthur,210.312
D.J. Augustin,182.88
Will Barton,201.168
Wilson Chandler,207.264
Kenneth Faried,207.264
Danilo Gallinari,185.928
Gary Harris,195.072
Nikola Jokic,185.928
Joffrey Lauvergne,186.2328
Mike Miller,207.264
Emmanuel Mudiay,198.12
Jameer Nelson,182.88
Jusuf Nurkic,213.36
JaKarr Sampson,210.312
Nemanja Bjelica,185.928
Gorgui Dieng,186.2328
Kevin Garnett,186.2328
Tyus Jones,188.976
Zach LaVine,198.12
Shabazz Muhammad,201.168
Adreian Payne,185.928
Nikola Pekovic,186.2328
Tayshaun Prince,210.312
Ricky Rubio,195.072
Damjan Rudez,210.312
Karl-Anthony Towns,213.36
Andrew Wiggins,207.264
Steven Adams,213.36
Nick Collison,185.928
Kevin Durant,210.312
Randy Foye,195.072
Josh Huestis,204.216
Serge Ibaka,185.928
Enes Kanter,186.2328
Mitch McGary,185.928
Nazr Mohammed,185.928
Jerami Grant,207.264
Richaun Holmes,185.928
Anthony Morrow,198.12
Carl Landry,210.312
Kendall Marshall,195.072
Cameron Payne,192.024
Andre Roberson,204.216
Kyle Singler,207.264
Dion Waiters,195.072
Russell Westbrook,192.024
Cliff Alexander,207.264
Al-Farouq Aminu,210.312
Pat Connaughton,198.12
Allen Crabbe,201.168
Ed Davis,185.928
Maurice Harkless,210.312
Gerald Henderson,198.12
Chris Kaman,213.36
Meyers Leonard,216.408
Damian Lillard,192.024
C.J. McCollum,195.072
Luis Montero,204.216
Mason Plumlee,186.2328
Brian Roberts,185.928
Noah Vonleh,210.312
Trevor Booker,207.264
Trey Burke,185.928
Alec Burks,201.168
Dante Exum,201.168
Derrick Favors,185.928
Rudy Gobert,216.408
Gordon Hayward,207.264
Rodney Hood,207.264
Joe Ingles,207.264
Chris Johnson,201.168
Trey Lyles,185.928
Shelvin Mack,192.024
Raul Neto,185.928
Tibor Pleiss,222.504
Jeff Withey,213.36
Rondae Hollis-Jefferson,204.216
Jarrett Jack,192.024
Sergey Karasev,204.216
Sean Kilpatrick,195.072
Shane Larkin,155.7528
T.J. McConnell,188.976
